,United States of America - Current US$,United States of America - Share of GDP,Australia - Current US$,Australia - Share of GDP,China - Current US$,China - Share of GDP,Japan - Current US$,Japan - Share of GDP,Taiwan - Current US$,Taiwan - Share of GDP,Russia - Current US$,Russia - Share of GDP
2004,492999.3761593967,0.04016312736406917,11995.219709505425,0.018274107694048605,37904.57182699605,0.019385082327980373,45339.809414657146,0.009266040159735279,7833.163784333674,0.022472778152133326,20955.41357062786,0.03300353646604828
2005,533203.0,0.040892318752450786,13237.798498629218,0.018024926795993743,42789.95365090244,0.01871858022948355,44300.61332994611,0.00916916800183882,8011.315944912488,0.02131117037772127,27336.9772736915,0.03331237234416593
2006,558335.0,0.040413423016603785,14239.77951309141,0.018223309260447806,51453.37323384863,0.01869591636279404,41552.592885579405,0.009029884324650364,7645.015523654361,0.019674387696981203,34517.78161891802,0.03246357234058381
2007,589586.0,0.0407335051467688,17186.44096161731,0.018122732342269847,62136.59075458873,0.01750164585451923,40530.045688469174,0.008849873822901835,8157.237683454113,0.019982009478588143,43534.99499624719,0.03118542074775401
2008,656756.0,0.04446595521562609,18633.092318274084,0.017966880893183844,78840.80281986286,0.017160425458049865,46361.468280459376,0.009078550455663423,8960.24367801504,0.02147373383671902,56183.7853932539,0.031494860200222165
2009,705917.0,0.048757683587977364,18960.138513012895,0.01923938333940075,96601.66675295417,0.018935237960352264,51465.15820758982,0.009729695655055255,9122.817634421615,0.023260909482273103,51532.11679751988,0.039240634030283446
2010,738005.0,0.04904023331829355,23217.69281573347,0.018529282576866764,105522.64810183836,0.01733519862128319,54655.45073530501,0.0094903256103587,9092.34561658555,0.02037649415229322,58720.22760875794,0.03585085720121125
2011,752288.0,0.04822441883263659,26597.19865533806,0.01755656946607194,125286.37316401086,0.0165908251595704,60762.21384089115,0.009748235497508287,9998.235134401304,0.0205829991196322,70237.5239514946,0.034330438376013066
2012,725205.0,0.04461709969933499,26216.58084843565,0.016709639653849123,145127.60959620716,0.017009426716011748,60011.53019469736,0.009567618416598964,10496.825825623016,0.02116529537847282,81469.39993125766,0.036892404345990726
2013,679229.0,0.040326610701752925,24825.262588816804,0.01639180199544612,164070.4693217442,0.017143409229625,49023.93240685809,0.009405385014289348,9964.30495689655,0.019427815063483456,88352.89646355981,0.03854042583143728
2014,647789.0,0.03690960761093363,25783.708714004188,0.01773058877567909,182109.20461907954,0.017384092879439417,46903.466612518736,0.009578009221468084,9802.43661508067,0.01847706070120973,84696.5046534978,0.04112992978223226
2015,633829.639,0.03481428215227779,24046.205860255446,0.019536335918400982,196538.82723079034,0.017767710689680607,42106.10330579276,0.009472835186133772,9803.312169782,0.018664575852287306,66421.82217992056,0.04871514746802024
2016,639856.443,0.03422587974869872,26382.94705001829,0.020885308793070986,198538.36142755367,0.01768886590250697,46471.28771424602,0.009295168164865975,9663.668976088233,0.018208168966200103,69245.2945528466,0.05425147705045051
2017,646752.927,0.03320540911741192,27691.11241685154,0.020042340765762518,210443.03474096782,0.017112426438885338,45058.46876064932,0.009132294923093335,10479.976346134894,0.018233979105803377,66913.03353678314,0.042489960517394815
2018,682491.4,0.03323866404211842,26839.820914401793,0.018956700785100294,232530.59598526615,0.016735782094454237,48535.90941058696,0.009624973568623041,10504.77580996834,0.017429689649714836,61609.20475641708,0.037198224395643395
2019,734344.1,0.03434567720388443,26079.346314325456,0.018810434541848615,240332.55545815144,0.016829110115129605,50778.00658600794,0.009922314656336702,10993.171742014822,0.01815129597685914,65201.335848356466,0.03860337504370727
2020,778397.2,0.036960098282306966,27300.894700619407,0.020106400988588454,257973.4298335652,0.017566994709883675,51396.53605852544,0.010178295562978869,11859.170231547498,0.018699716847210498,61712.53716893713,0.041714789011806704
2021,806230.2,0.03457977219234488,32718.066816816816,0.01989122700358157,285930.51805605274,0.016130738643313294,50957.47103403046,0.010182973766940252,12893.982808022922,0.017341526234053967,65907.7050471045,0.03720451364666705
2022,876943.2,0.034549197977343946,32298.918664329518,0.018988243477779176,291958.42846021045,0.015953807433314524,45992.092171893266,0.010777344370168775,12508.611840183316,0.016114578480442527,86373.10225141315,0.040563163324671685
